team,city,mascot,league,division,year
Baltimore Ravens,,Ravens,afc,north,
New England Patriots,,Patriots,afc,east,
Tennessee Titans,,Titans,afc,south,
Atlanta Falcons,,Falcons,nfc,south,
Tampa Bay Buccaneers,,Buccaneers,nfc,south,
Kansas City Chiefs,,Chiefs,afc,west,
Cincinnati Bengals,,Bengals,afc,north,
Miami Dolphins,,Dolphins,afc,east,
Seattle Seahawks,,Seahawks,nfc,west,
Minnesota Vikings,,Vikings,nfc,north,
Oakland Raiders,,Raiders,afc,west,
Arizona Cardinals,,Cardinals,nfc,west,
Green Bay Packers,,Packers,nfc,north,
New York Giants,,Giants,nfc,east,
Philadelphia Eagles,,Eagles,nfc,east,
Houston Texans,,Texans,afc,south,
New York Jets,,Jets,afc,east,
San Diego Chargers,,Chargers,afc,west,
Cleveland Browns,,Browns,afc,north,
Carolina Panthers,,Panthers,nfc,south,
St Louis Rams,,Rams,nfc,west,
Washington Redskins,,Redskins,nfc,east,
Dallas Cowboys,,Cowboys,nfc,east,
New Orleans Saints,,Saints,nfc,south,
Detroit Lions,,Lions,nfc,north,
Jacksonville Jaguars,,Jaguars,afc,south,
Denver Broncos,,Broncos,afc,west,
San Francisco 49ers,,49ers,nfc,west,
Pittsburgh Steelers,,Steelers,afc,north,
Indianapolis Colts,,Colts,afc,south,
Buffalo Bills,,Bills,afc,east,
Chicago Bears,,Bears,nfc,north,
Los Angeles Rams,,Rams,nfc,west,2016